[308]	train-rmse:0.012259	test-rmse:0.015175 
[309]	train-rmse:0.012219	test-rmse:0.015159 
[310]	train-rmse:0.012176	test-rmse:0.015141 
[311]	train-rmse:0.012135	test-rmse:0.015123 
[312]	train-rmse:0.012101	test-rmse:0.015110 
[313]	train-rmse:0.012063	test-rmse:0.015099 
[314]	train-rmse:0.012029	test-rmse:0.015087 
[315]	train-rmse:0.011994	test-rmse:0.015076 
[316]	train-rmse:0.011958	test-rmse:0.015065 
[317]	train-rmse:0.011925	test-rmse:0.015054 
[318]	train-rmse:0.011890	test-rmse:0.015041 
[319]	train-rmse:0.011860	test-rmse:0.015031 
[320]	train-rmse:0.011829	test-rmse:0.015023 
[321]	train-rmse:0.011798	test-rmse:0.015014 
[322]	train-rmse:0.011767	test-rmse:0.015005 
[323]	train-rmse:0.011738	test-rmse:0.014995 
[324]	train-rmse:0.011706	test-rmse:0.014986 
[325]	train-rmse:0.011676	test-rmse:0.014977 
[326]	train-rmse:0.011652	test-rmse:0.014971 
[327]	train-rmse:0.011627	test-rmse:0.014965 
[328]	train-rmse:0.011604	test-rmse:0.014958 
[329]	train-rmse:0.011581	test-rmse:0.014951 
[330]	train-rmse:0.011557	test-rmse:0.014946 
[331]	train-rmse:0.011532	test-rmse:0.014939 
[332]	train-rmse:0.011506	test-rmse:0.014933 
[333]	train-rmse:0.011483	test-rmse:0.014929 
[334]	train-rmse:0.011461	test-rmse:0.014922 
[335]	train-rmse:0.011442	test-rmse:0.014917 
[336]	train-rmse:0.011420	test-rmse:0.014911 
[337]	train-rmse:0.011392	test-rmse:0.014901 
[338]	train-rmse:0.011374	test-rmse:0.014897 
[339]	train-rmse:0.011356	test-rmse:0.014891 
[340]	train-rmse:0.011335	test-rmse:0.014886 
[341]	train-rmse:0.011310	test-rmse:0.014877 
[342]	train-rmse:0.011293	test-rmse:0.014874 
[343]	train-rmse:0.011270	test-rmse:0.014870 
[344]	train-rmse:0.011252	test-rmse:0.014868 
[345]	train-rmse:0.011231	test-rmse:0.014863 
[346]	train-rmse:0.011213	test-rmse:0.014858 
[347]	train-rmse:0.011194	test-rmse:0.014852 
[348]	train-rmse:0.011177	test-rmse:0.014849 
[349]	train-rmse:0.011159	test-rmse:0.014843 
[350]	train-rmse:0.011143	test-rmse:0.014840 
[351]	train-rmse:0.011119	test-rmse:0.014835 
[352]	train-rmse:0.011098	test-rmse:0.014828 
[353]	train-rmse:0.011081	test-rmse:0.014825 
[354]	train-rmse:0.011062	test-rmse:0.014823 
[355]	train-rmse:0.011046	test-rmse:0.014819 
[356]	train-rmse:0.011031	test-rmse:0.014817 
[357]	train-rmse:0.011016	test-rmse:0.014814 
[358]	train-rmse:0.011000	test-rmse:0.014813 
[359]	train-rmse:0.010979	test-rmse:0.014809 
[360]	train-rmse:0.010964	test-rmse:0.014805 
[361]	train-rmse:0.010949	test-rmse:0.014801 
[362]	train-rmse:0.010938	test-rmse:0.014798 
[363]	train-rmse:0.010924	test-rmse:0.014796 
[364]	train-rmse:0.010910	test-rmse:0.014794 
[365]	train-rmse:0.010896	test-rmse:0.014789 
[366]	train-rmse:0.010884	test-rmse:0.014790 
[367]	train-rmse:0.010870	test-rmse:0.014787 
[368]	train-rmse:0.010860	test-rmse:0.014788 
[369]	train-rmse:0.010843	test-rmse:0.014783 
[370]	train-rmse:0.010829	test-rmse:0.014780 
[371]	train-rmse:0.010817	test-rmse:0.014778 
[372]	train-rmse:0.010801	test-rmse:0.014775 
